"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id_clean","expression_status","gene_symbol","gene_biotype"
"ENSG00000246022.3",67.2499517718965,4.63610216090844,0.872035374069323,5.31641524961795,1.05831480408368e-07,2.57389411058792e-06,"ENSG00000246022","Over-expressed","ALDH1L1-AS2","antisense"
"ENSG00000113578.18",2437.98101144385,1.85090693745189,0.348194734779296,5.31572350921703,1.0623435836039e-07,2.58108234754248e-06,"ENSG00000113578","Over-expressed","FGF1","protein_coding"
"ENSG00000146090.16",49.7208454133197,2.82062870458716,0.530868024655926,5.31323902285377,1.07693628770978e-07,2.6147236895296e-06,"ENSG00000146090","Over-expressed","RASGEF1C","protein_coding"
"ENSG00000233926.1",8.32299686954117,2.41228739936442,0.454074701992228,5.31253423452274,1.08111108137781e-07,2.621536967244e-06,"ENSG00000233926","Over-expressed","RP11-154D17.1","lincRNA"
"ENSG00000135298.14",56.8223411707534,2.18561180510731,0.411408299233005,5.31251267702178,1.08123902316757e-07,2.621536967244e-06,"ENSG00000135298","Over-expressed","ADGRB3","protein_coding"
"ENSG00000262370.6",88.5525186083981,1.75964519451151,0.33143529637471,5.30916656662336,1.1012765496933e-07,2.66642874350414e-06,"ENSG00000262370","Over-expressed","RP11-473M20.9","lincRNA"
"ENSG00000009724.17",147.098679591419,2.0534993489144,0.38697954517441,5.30648034119968,1.11762208155143e-07,2.69854511558611e-06,"ENSG00000009724","Over-expressed","MASP2","protein_coding"
"ENSG00000207697.1",18.5825476898282,1.75443270576873,0.330704092466104,5.30514361853129,1.12584320428442e-07,2.71528259318141e-06,"ENSG00000207697","Over-expressed","MIR573","miRNA"
"ENSG00000138356.14",2201.22778275342,2.96833706570119,0.559525043085394,5.30510135763157,1.12610406961398e-07,2.71528259318141e-06,"ENSG00000138356","Over-expressed","AOX1","protein_coding"
"ENSG00000251322.9",2865.0894188542,1.91808377808523,0.361601727244102,5.30440988958665,1.130380635762e-07,2.7237197781239e-06,"ENSG00000251322","Over-expressed","SHANK3","protein_coding"
"ENSG00000112182.15",630.464180739658,1.80966625833335,0.341196086557787,5.30388925790581,1.13361098682846e-07,2.7258792672296e-06,"ENSG00000112182","Over-expressed","BACH2","protein_coding"
"ENSG00000154553.16",3762.47207561554,2.2273324195153,0.42015307080047,5.30124036763987,1.1501853350804e-07,2.76194264664441e-06,"ENSG00000154553","Over-expressed","PDLIM3","protein_coding"
"ENSG00000268062.1",18.4067328107062,1.79096618814872,0.337890382603305,5.30043552690096,1.15526757806788e-07,2.77224654778138e-06,"ENSG00000268062","Over-expressed","TOP1P1","processed_pseudogene"
"ENSG00000151632.17",3512.79857899457,4.04445634184387,0.763488595926942,5.2973369391766,1.17503754393184e-07,2.81198363057733e-06,"ENSG00000151632","Over-expressed","AKR1C2","protein_coding"
"ENSG00000170464.10",814.47371451214,1.12680167582354,0.212725834937064,5.29696675609199,1.1774212061018e-07,2.81576463861955e-06,"ENSG00000170464","Over-expressed","DNAJC18","protein_coding"
"ENSG00000250282.1",7.51807880345301,3.14284257557443,0.593469334032024,5.29571183437902,1.18553669381003e-07,2.82937861496147e-06,"ENSG00000250282","Over-expressed","RP5-875H18.4","antisense"
"ENSG00000120903.13",20.4642178981157,5.84156219864085,1.10398713337712,5.29133177555372,1.21428852627772e-07,2.89208691489734e-06,"ENSG00000120903","Over-expressed","CHRNA2","protein_coding"
"ENSG00000151726.15",22399.6449435016,2.19124889214071,0.414972294384453,5.28047033932973,1.28852683300555e-07,3.05850525706974e-06,"ENSG00000151726","Over-expressed","ACSL1","protein_coding"
"ENSG00000250961.2",68.9755834279398,3.94405683433382,0.746944291893094,5.28025567253189,1.29003745182673e-07,3.06001774710559e-06,"ENSG00000250961","Over-expressed","CTD-2023N9.1","antisense"
"ENSG00000112246.10",257.974350931731,3.01378607115614,0.570888679850875,5.27911338501823,1.2981046339382e-07,3.07707008457543e-06,"ENSG00000112246","Over-expressed","SIM1","protein_coding"
"ENSG00000279526.1",8.589173680155,2.92881965790929,0.555074129779835,5.27644777657173,1.31712025231255e-07,3.1179262189034e-06,"ENSG00000279526","Over-expressed","AC011239.2","TEC"
"ENSG00000253520.1",52.5499801213814,1.3656231414245,0.25900991377053,5.27247440665293,1.34596611624532e-07,3.17976553490592e-06,"ENSG00000253520","Over-expressed","RP11-798K23.5","processed_pseudogene"
"ENSG00000020577.14",2162.35632210652,1.82240486199914,0.345653897987815,5.27233996957091,1.34695271343253e-07,3.17995204279709e-06,"ENSG00000020577","Over-expressed","SAMD4A","protein_coding"
